fips,state,county,rate_mort_period1,rate_vaccination
1125,Alabama,Tuscaloosa,0.08500854490036822,0.3593438925985306
1127,Alabama,Walker,0.1729362431514187,0.41304214747023354
1129,Alabama,Washington,0.14946711723420847,0.4463867949051209
1133,Alabama,Winston,0.10620220900594733,0.19932030586236194
2020,Alaska,Anchorage,0.03296171291034757,0.5555216019392475
2050,Alaska,Bethel Census Area,0.04285867352405443,0.5709311046823101
2090,Alaska,Fairbanks North Star Borough,0.019863049500810203,0.48808739741780355
2110,Alaska,Juneau City and Borough,0.009300883583940475,0.6580065106185088
2122,Alaska,Kenai Peninsula Borough,0.022109219544550078,0.4175581217367642
2170,Alaska,Matanuska-Susitna Borough,0.010272597379553796,0.341031555551405
4001,Arizona,Apache,0.3195952802896048,0.8060920010299754
4003,Arizona,Cochise,0.07812064058925283,0.5472669733034669
4005,Arizona,Coconino,0.1302540988690636,0.6782517005396241
4007,Arizona,Gila,0.21211893677729388,0.529734194323472
4009,Arizona,Graham,0.10640230451820518,0.5540186333791814
4012,Arizona,La Paz,0.13287431297940447,0.540013287431298
4013,Arizona,Maricopa,0.09847150863870886,0.5081331177350965
4015,Arizona,Mohave,0.13269751063221222,0.36442581365143223
4017,Arizona,Navajo,0.270809711667307,0.6492967381017083
4019,Arizona,Pima,0.07666999222757953,0.5989498127814628
4021,Arizona,Pinal,0.07054441476353512,0.5049192971895106
4023,Arizona,Santa Cruz,0.17621515030732762,0.8856489542469949
4025,Arizona,Yavapai,0.0630797302388986,0.40679652341782063
4027,Arizona,Yuma,0.2074739676576042,0.6126956410847504
5001,Arkansas,Arkansas,0.1516123389118899,0.5157735144906409
5003,Arkansas,Ashley,0.09442870632672333,0.466530269646417
5005,Arkansas,Baxter,0.09609147908809186,0.43685588680423765
5007,Arkansas,Benton,0.07350536167099844,0.4552795489795416
5009,Arkansas,Boone,0.13913788028790838,0.3342252428223584
5015,Arkansas,Carroll,0.08492569002123143,0.42200990799716914
5019,Arkansas,Clark,0.07460598713046722,0.4641424974354192
5023,Arkansas,Cleburne,0.10926308121889036,0.40427340050989435
5027,Arkansas,Columbia,0.1447304942765668,0.44155958072014384
5029,Arkansas,Conway,0.04827419744146754,0.48940381366159785
5031,Arkansas,Craighead,0.09439814440219003,0.3915904738786849
5033,Arkansas,Crawford,0.07982305888613572,0.43377180583040925
5035,Arkansas,Crittenden,0.1328820879098063,0.3801673483794614
5037,Arkansas,Cross,0.1841620626151013,0.45731598645517735
